X,Y,osm_id,amenity,addr:housenumber,name,brand,operator,shop,addr:housename,layer,sport,historic,building,website,cuisine,payment:mastercard,payment:american_express,capacity,addr:city,payment:cash,addr:postcode,description,outdoor_seating,opening_hours,payment:visa,delivery,phone,payment:debit_cards,takeaway,smoking,payment:credit_cards,email,addr:street,brand:wikidata,brand:wikipedia,llbo,addr:province,addr:country,contact:facebook,wheelchair:description,wheelchair,microbrewery,diet:vegan,diet:gluten_free,addr:unit,name:en,internet_access,diet:halal,Payments,year,name:ko,level,alt_name,internet_access:fee,drink,indoor_seating,name_1,catering,old_name,cuisine_1,cuisine_2,hst_number,payment:interac,payment:discover_card,facebook,name:ru,air_conditioning,diet,diet:vegetarian,addr:hamlet,short_name,dine_in,opendata:type,official_name,type,toilets:wheelchair,payment:bitcoin,diet:pescetarian,diet:meat,bar,stars,reservation,unit,addr:building,source_1,drive_through,gst_number,capacity:indoors,capacity:outdoors,not:name,addr:place,owner,stars:system,name:vi,stars:date,payment:coins,payment:coinkite,name:fr,url,fax,opening_hours:url,entrance,est_date,name:zh,max_occupancy,addr:subdistrict,toilets,toilets:access,wikipedia,wikidata,atm,vacant,floor,brewery,building:levels,wikipedia:en,start_date,store_ref,opening_hours:delivery,parking,store_name,opening_hours:signed,seating,barbecue,halal,int_name,designation,contact:yellowpages,payment:notes,contact:yelp,nudism
-79.9056455,43.4325749,4755762804,restaurant,6179,Lowville Bistro,,,,,,,,,https://www.lowvillebistro.ca/,,,,,,,,,,"Th-Su 12:00-16:00,17:00-21:30",,,+1-905-335-0750,,,,,,Guelph Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8847168,43.5115428,2216850853,restaurant,140,Grill Daddy,,,,,,,,,,,,,,Milton,,,,,,,,+1-905-875-2964,,,,,,Main Street East,,,,,,https://www.facebook.com/pages/GRILL-DADDY-Family-Restaurant/379407028862504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8846295,43.5116253,2216850848,restaurant,144,Casa Americo,,,,,,,,,www.casaamerico.com,,,,,Milton,,,,,,,,,,,,,,Main Street East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8843884,43.5121296,2206886882,restaurant,163,La Toscana Restaurant,,,,,,,,,http://www.latoscana.ca,,,,,Milton,,,,,,,,+1-905-693-8345,,,,,,Main Street East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8842072,43.5119999,2216850794,restaurant,164,The Bistro on Main,,,,,,,,,http://www.thebistroonmain.com,,,,,Milton,,,,,,,,+1-905-693-0100,,,,,,Main Street East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8841433,43.5123944,5393691421,restaurant,173,Mo-Bay Jerk - A Taste Of The Caribbean,,,,,,,,,http://www.mobayjerk.ca/,,,,,Milton,,,,,,,,+1-905-636-0505,,,,,,Main St E,,,,,,,StopGap ramp,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8832814,43.5136133,3485495924,restaurant,8,Sushi Ya Japan,,,,,,,,,www.miltonsushi.ca,,,,,Milton,,,,,,,,+1-905-878-9666,,,,,,Martin Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8876519,43.5265275,2232090090,restaurant,466,Louie's Diner,,,,,,,,,http://www.louiesdiner.ca/,,,,,Milton,,,,,,,,+1-905-693-0404,,,,,,Steeles Avenue East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8874334,43.5267287,2232090030,restaurant,478,Aji Sai Sushi,,,,,,,,,https://ajisai.ca/,japanese,,,,Milton,,,,,,,,+1-905-636-8866,,,,,,Steeles Avenue East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8791018,43.517297,2205333002,restaurant,395,Oshima Sushi,,,,,,,,,www.oshimasushi.ca,,,,,Milton,,,,,,,,,,,,,,Main Street East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8551653,43.5111945,2230279870,restaurant,611,Symposium Cafe Restaurant & Lounge,,,,,,,,,https://symposiumcafe.com/locations/milton-restaurants,"breakfast;local;dessert",yes,yes,140,Milton,yes,L9T 0K4,"BREAKFAST, BRUNCH, BURGERS, DESSERTS & MORE",yes,"Su-Th 08:00-24:00, Fr-Sa 08:00-01:00",yes,yes,+1-905-878-1777,yes,yes,no,yes,symposium.milton@symposiumcafe.com,Holly Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8681281,43.5273764,2204624781,restaurant,875,Osmow's,,,,,,,,,https://mrosmow.com/,mediterranean,,,,Milton,,L9T 3Z3,,,,,,,,,,,,Main Street East,,,,ON,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8759965,43.5352814,5921580568,restaurant,1003,Sunset Grill,Sunset Grill,,,,,,,,,american,,,,Milton,,,,,,,,,,,,,,Maple Avenue,Q62112489,en:Sunset Grill (Canadian restaurant chain),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8757617,43.5354921,5921580569,restaurant,1003,Pita and Grill,,,,,,,,,,"Middle_Eastern;Greek",,,,Milton,,,,,,,,,,,,,,Maple Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.87211,43.5374829,2193602430,restaurant,1101,Turtle Jack's Muskoka Grill,,,,,,,,,,american,,,,Milton,,,,,,,,,,,,,,Maple Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.796551,43.3244094,4200651719,restaurant,1477,Salvatore's,,,,,,,,,https://www.salvatoresburlington.com/,italian,,,,,,L7S 1B5,,yes,,,,+1-905-633-8787,,no,no,,,Lakeshore Road,,,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7988753,43.3265703,1715140844,restaurant,443,The Works,,,,,,,,,,burger,,,,Burlington,,L7R 2G3,,,,,,,,,,,,Brant Street,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7956217,43.3251775,6565132173,restaurant,399,Lettuce Love Café,,,,,,,,,https://www.lettucelovecafe.com,,,,,Burlington,,L7R 2K3,,,"Mo 11:00-15:00; Tu-Fr 11:00-20:30; Sa 10:00-20:30; Su 10:00-20:00",,,+1-905-637-2700,,,,,ieat@lettucelovecafe.com,John Street,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7947381,43.3253737,6565132172,restaurant,399,Boon Burger Burlington,,,,,,,,,https://www.facebook.com/boonburgerburlington/,burger,,,,Burlington,,L7R 0A4,,yes,Mo-Su 11:00-21:00,,,+1-905-632-2666,,,,,,Elizabeth Street,,,,,,,,,,yes,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7954259,43.326072,1632096857,restaurant,2041,Paradiso,,,,,,,,,,,,,,Burlington,,L7R 1E9,,,,,,,,,,,,Pine Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.795228,43.3261362,3021589809,restaurant,2049,Son of a Peach Pizzeria,,,,,,,,,https://www.heypeachy.com/,pizza,,,,Burlington,,L7R 2N1,,,,,,+1-905-632-4040,,,,,hey@heypeachy.com,Pine Street,,,,,,,,no,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7951928,43.3451127,3384667964,restaurant,730,Wing's Up,,,,,,,,,http://wingsup.ca/,wings,,,,Burlington,,L7R 3N5,,,"Su-Th 11:00-23:00, Fr-Sa 11:00-01:00",,yes,+1-905-637-0001,,only,,,,Guelph Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7936012,43.3571857,4441468789,restaurant,3245,Familia Fine Foods,,,,,,,,,https://familiafinefoods.com/,,,,,,,,,,Mo-Fr 08:00-17:00,,,+1-647-471-6178,,,,,info@familiafinefoods.com,Harvester Road,,,,,,,,,,,,,Familia Fine Foods,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7825143,43.3582049,1922054530,restaurant,3455,Thistle Fish & Chips Restaurant,,,,,,,,,,fish_and_chips,,,,Burlington,,L7N 2R4,,,,,,,,,,,,Fairview Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8040442,43.3783064,5643842145,restaurant,108,Rust Bistrobar,,,,,,,,,,,,,,,,L7M 0H6,,yes,,,,,,no,no,,,Walkers Line,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7949144,43.38709,4681837797,restaurant,2180,MAX Resto Lounge,,,,,,,,,http://maxrestolounge.ca/,fine_dining,,,,,,,,yes,,,no,,,no,,,,Itabashi Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7940578,43.3878325,2346771134,restaurant,2180,Sea 2 Fork,,,,,,,,,http://www.sea2fork.com/,fish_and_chips,,,,Burlington,,L7M 5A5,,,,,,+1-289-938-9380,,,,,,Itabashi Way,,,,,,,,,,,,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7885682,43.3920726,1650030758,restaurant,1900,Turtle Jacks,,,,,,,,,,,,,,Burlington,,L7L 0B7,,yes,,,,,,,no,,,Appleby Line,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7913914,43.3934616,319412913,restaurant,2000,Wimpy's Diner,,,,,,,,,,,,,,Burlington,,L7L 7H7,,no,,,,+1-289-337-9990,,,,,,Appleby Line,,,,,,,,yes,,,,F4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7911407,43.393612,3870276159,restaurant,2000,Anchor Bar,,,,,,,,,,chicken,,,,Burlington,,L7L 7H7,,yes,,,,,,,no,,,Appleby Line,,,,,,,,,,,,F7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7911685,43.3938872,288065593,restaurant,2000,East Side Mario's,East Side Mario's,,,,,,,,,italian,,,,Burlington,,L7L 7H7,,yes,,,,,,,no,,,Appleby Line,Q5329375,en:East Side Mario's,,,,,,yes,,,,G10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.791479,43.3940648,4684460977,restaurant,2000,Montfort,,,,,,,,,,regional,,,,Burlington,,L7L 7H7,,,,,,,,,,,,Appleby Line,,,,,,,,,,,,G6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7877163,43.3915045,2589607847,restaurant,1860,Industria Pizzeria & Bar,,Tortoise Restaurant Group,,,,,,,,italian,,,,Burlington,,L7L 6A1,,yes,,,,,,,no,,,Appleby Line,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7966474,43.396708,288065618,restaurant,2080,Ben Thanh Vietnamese Thai Cuisine,,,,,,,,,,"vietnamese;thai",,,,,,,,no,,,,,,,,,,Appleby Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7489527,43.3957852,7403594221,restaurant,3513,Osmow's,,,,,,,,,,,,,,Oakville,,L6L 0B6,,,,,,,,,,,,Wyecroft Road,,,,ON,CA,,,,,,,H007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7531625,43.3968551,7060663710,restaurant,3451,Denny's,Denny's,,,,,,,,,american,,,,,,,,,,,,,,,,,,South Service Road,Q1189695,en:Denny's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7096978,43.3940539,7018117380,restaurant,49,Cove Bar,,,,,,,,,,italian,,,,Oakville,,L6L 3B6,,,,,,,,,,,,Bronte Road,,,,ON,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7095353,43.3940259,385027421,restaurant,49,Yolanda's Spuntino Casa,,,,,,,,,http://www.yolandasspuntinocasa.com/,italian,,,,,,,,,,,,+1-289-837-3056,,,,,,Bronte Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7105847,43.3949763,385027449,restaurant,2420,El Spero,,,,,,,,,https://www.elspero.ca/,,,,,,,,,,,,,+1-905-827-4851,,,,,,Lakeshore Road West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7080724,43.3982604,7403577071,restaurant,2309,Maurya East Indian Roti,,,,,,,,,,indian,,,,Oakville,,L6L 1H2,,,,,,,,,,,,Lakeshore Road West,,,,ON,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7412008,43.4368616,1960821026,restaurant,1500,Symposium Cafe Restaurant & Lounge,,,,,,,,,https://symposiumcafe.com/locations/oakville-restaurants,"breakfast;burger;coffee_shop;sandwich;dessert;chicken;american;international;seafood",yes,yes,140,Oakville,yes,L6M 3G3,"BREAKFAST, BRUNCH, BURGERS, DESSERTS & MORE",yes,"Su-Th 08:00-24:00, Fr-Sa 08:00-01:00",yes,yes,+1-905-847-2200,yes,yes,no,yes,symposium.oakville@symposiumcafe.com,Upper Middle Road West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7175049,43.4842249,7403604216,restaurant,234,Osmow's,,,,,,,,,,,,,,Oakville,,L6H 7P3,,,,,,,,,,,,Hays Boulevard,,,,ON,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7099021,43.4257305,455058728,restaurant,1272,Machu Picchu,,,,,,,,,,regional,,,,Oakville,,,,,,,,+1-905-847-2228,,,,,,Speers Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.701708,43.4335653,2700219245,restaurant,649,Fifties Diner,,,,,,,,,http://www.fiftiesdiner.ca,,,,,Oakville,,L6L 5B3,,,,,,+1-905-849-0308,,,,,,Fourth Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.6750451,43.4402009,1503609439,restaurant,125,Justino's Wood Oven Pizza,,,,,,,,,,pizza,,,,Oakville,,L6K 3A4,,,,,,,,,,,,Kerr Street,,,,ON,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.6700313,43.4442665,798533850,restaurant,125,Paradiso,,,,,,,,,http://paradisorestaurant.com/,,,,,Oakville,,L6J 1H3,,,,,,,,,,,,Lakeshore Road East,,,,ON,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.6696111,43.4442523,2012566628,restaurant,138,,,,,,,,,,,,,,,Oakville,,,,,,,,,,,no,,,Lakeshore Road East,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.6695148,43.4443426,2012566607,restaurant,142,BRU Restaurant,,,,,,,,,https://www.brurestaurant.ca,,,,,Oakville,,,,,Daily: 11:00 AM to Close,,,(905) 844-4400,,,,,,Lakeshore Road East,,,,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.668071,43.4454983,300469798,restaurant,94,Piazza Bistro,,,,,,,,,http://www.piazzabistro.ca,italian,,,,Oakville,,,,,,,,+1-905-618-0255,,,,,,George Street,,,,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.6676829,43.4460155,3429590363,restaurant,218,Noble Bistro,,,,,,,,,http://noblebistro.com,Canadian,,,,Oakville,,,,,,,,+1-289-837-3108,,,,,,Lakeshore Road East,,,,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.6678776,43.4462257,1870740955,restaurant,221,Colossus Greek Taverna,,,,,,,,,http://www.colossusgreektaverna.com/,greek,,,,Oakville,,,,,,,,+1-905-849-8175,,,,,,Lakeshore Road East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.6670714,43.4470218,2022464215,restaurant,333,Dar Nabati,,,,,,,,,https://www.darnabati.ca,indian,,,,Oakville,,,,,,,,+1-416-732-3501,,,,,,Lakeshore Road East,,,,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
