X,Y,osm_id,shop,addr:housenumber,name,brand,operator,amenity,addr:housename,opening_hours,addr:city,addr:street,phone,name:en,addr:postcode,website,brand:wikidata,addr:unit,addr:province,level,owner,email,description,atm,payment:mastercard,payment:cash,payment:visa,opendata:type,washroom,brand:wikipedia,atm:operator,wheelchair,old_name,payment:debit_cards,payment:credit_cards,wheelchair:description,toilets:wheelchair,unit,lotto,lottery,drink:club-mate:note,drink:club-mate,hst_number,payment:interac,store_ref,fuel:diesel,payment:american_express,gst_number,payment:coins,alt_name,retail
-79.4675041,43.6655497,6491357326,convenience,2938,Junction Gardens Grand Bargain,,,,,,,Dundas Street West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.464339,43.6655128,6491618241,convenience,2850,Big Convenience,,,,,,,Dundas Street West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.461659,43.665438,6491731396,convenience,2776,T&P Vietnam Market,,,,,,,Dundas Street West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.5582953,43.6947994,2346786763,convenience,408,Husky,,,,,,Etobicoke,Dixon Road,,,,,,,,,,,,,,,,,,,,,Sunoco,,,,,,,,,,,,,,,,,,
-79.5706839,43.7190217,4395552219,convenience,2140,Daisy Mart,,,,,,Etobicoke,Kipling Avenue,,,M9W 4K5,,,3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.5694736,43.7196561,3405891058,convenience,2141,Jug City,,,,,"Mo-Fr 07:30-21:00; Sa 08:30-21:00; Su 09:00-19:00",Etobicoke,Kipling Avenue,,,M9W 4K8,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.5884896,43.7331192,5917075342,convenience,1701,Dollar King & Party Supplies,,,,,Mo-Su 08:00-21:00,Etobicoke,Martin Grove Road,,,M9V 4N4,,,7,,,,,,,,yes,,,,,,,,yes,yes,,,,,,,,,,,,,,,,
-79.5884199,43.7331385,5917075343,convenience,1701,Convenience Store,,,,,Mo-Su 07:00-23:00,Etobicoke,Martin Grove Road,,,M9V 4N4,,,8,,,,,,,,yes,,,,,,,,yes,yes,,,,,,,,,,,,,,,,
-79.5921201,43.7420068,6334287548,convenience,1620,Jug City,,,,,,,Albion Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.5835293,43.7421895,6334218969,convenience,1530,Goodies Convenience,,,,,,,Albion Road,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.5676857,43.738004,5708886322,convenience,1162,Albion Paan & Video,,,,,,Etobicoke,Albion Road,,,M9V 1A8,,,,,,,,,,,,,,,,,no,,,,It's permanently closed.,no,,,,,,,,,,,,,,
-79.5588837,43.735044,5709480421,convenience,900,Yong Albion Convinience,,,,,,Etobicoke,Albion Road,+1-416-740-4329,,M9V 1A5,,,,,,,,,,,,,,,,,limited,,,,,no,,,,,,,,,,,,,,
-79.5238441,43.6855781,6314606861,convenience,140,Circle K,Circle K,,,,,,La Rose Avenue,,,,,Q3268010,,,,,,,,,,,,,en:Circle K,,,,,,,,,,,,,,,,,,,,,
-79.5233895,43.6855335,6314606865,convenience,140,Melrose Variety,,,,,,,La Rose Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.5260927,43.7035378,368127384,convenience,2189-2191,Park's Supermarket,,,,,,York,Weston Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.5160878,43.6999949,6341397532,convenience,1894,E's Discount,,,,,,,Weston Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.5159974,43.6999482,6341397533,convenience,1890,Waryaa Covenience Store,,,,,,,Weston Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.5157448,43.6998762,6341397537,convenience,1880,Al-Baraka Variety Store,,,,,,,Weston Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.5128528,43.6987688,6341397568,convenience,1794,Jam's Grocery Variety,,,,,,,Weston Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.5133016,43.6989458,6341397562,convenience,1806,Global Groceries Canada,,,,,,,Weston Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.5074987,43.695869,6341456299,convenience,1615,Weston Rd. Convenience Store,,,,,,,Weston Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.5090055,43.72429,4504457658,convenience,2231,Seui Thi Super Market Chi Thanh,,,,,,,Jane Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.4742834,43.69018,383629935,convenience,2609,Variety & Video,,,,,,York,Eglinton Avenue West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.4803711,43.7086375,6003902000,convenience,1442,,,,,,Mo-Sa 08:00-18:00,North York,Lawrence Avenue West,,,,,,,,1,,,Right down by the lobby.,,yes,yes,yes,,,,,,,yes,,,,,,,,,,,,,,,,,
-79.5201792,43.7579518,6370871210,convenience,1,Ross Convenience,,,,,,,York Gate Boulevard,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.514462,43.7570428,6370640613,convenience,1911,Jane Finch Variety,,,,,,,Finch Avenue West,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.6668192,43.7965528,3206975730,convenience,225,Hasty Market,,,,,,Brampton,Castle Oaks Crossing,,,L6P 3X3,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.5092022,43.8378232,4030068722,convenience,9300,Maplewood Convenience Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.4599306,43.8485635,1831537642,convenience,9320,Grab N Go,,Grab N Go,,,,Maple,Bathurst Street,,,L6A 4N9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.4562123,43.944583,1766560607,convenience,60,King Deli,,,,,,,King Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7873353,44.07849,4011506470,convenience,60,Daisy Mart,,,,,,New Tecumseth,Main Street West,,,L0G 1A0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.4559476,43.9545336,4145839627,convenience,13461,Hasty Market,,,,,"Su 09:00-22:00; Mo-Fr 06:30-23:00; Sa 09:00-22:00",Richmond Hill (Oak Ridges),Yonge Street,+1-905-773-6497,,L4E 0L2,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
-79.4759272,43.9985395,2894630816,convenience,126,Circle K,Circle K,,,,24/7,Aurora,Wellington Street West,,,L4G 2N9,https://www.circlek.com/,Q3268010,,,1,,,,,,,,,,en:Circle K,,,,,,,,,,,,,,,,,,,,,
-79.5668874,44.1255099,2431539541,convenience,305,Daisy Mart,,,,,,Bradford,Barrie Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.4370653,43.6365376,6184564993,convenience,160A,Kapamilya Foods,,,,,,Toronto,Springhurst Avenue,+1-416-534-0269,,M6K 1C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.4369312,43.636642,6184565002,convenience,160,Jameson Variety Fair,,,,,,Toronto,Springhurst Avenue,,,,,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
-79.4437382,43.6393164,903717793,convenience,1666,Queen Mini Mart,,,,,,,Queen Street West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.4475842,43.6429651,6325960671,convenience,127,Cinema Convenience,,,,,,Toronto,Roncesvalles Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.448597,43.6456026,530784881,convenience,211,Jac's Milk,,,,,09:00-23:00,Toronto,Roncesvalles Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.4497763,43.6486556,5508582721,convenience,319,Roncesvalles Convenience Plus,,,,,,Toronto,Roncesvalles Avenue,+1-416-531-2616,,M6R 2M6,,,,,,,,,,,,,,,,,yes,,,,StopGap ramp,,,,,,,,,,,,,,,
-79.4495983,43.6481875,1854911997,convenience,301,Garden Milk & Variety,,,,,,Toronto,Roncesvalles Avenue,+1-416-531-8755,,M6R 2M6,,,,,,,,,,,,,,,,,yes,,,,StopGap ramp,,,,,,,,,,,,,,,
